"TOA5","CR1000XSeries_MFM","CR1000X","30955","CR1000X.Std.06.00","CPU:CR1000X_MFM_230222.CR1X","53148","raw"
"TIMESTAMP","RECORD","AirTemp_C_AVG","RH","WindSp_ms_AVG","WindSp_ms_MAX","WindSp_TMx","WindDir","Pyr_kW_AVG","Pyr_MJ_TOT","DewPt_C_AVG","PAR_Den_Avg","BP_mbar_Avg","Rain_mm_Tot","BattV","PTemp_C"
"TS","RN","Deg C","%","meters/second","meters/second","meters/second","degrees","kW/m^2","MJ/m^2","Deg C","umol/s/m^2","mbar","mm","Volts","Deg C"
"","","Avg","Smp","Avg","Max","TMx","Smp","Avg","Tot","Avg","Avg","Avg","Tot","Smp","Smp"
"2023-05-16 16:00:00",0,26.29,18.53,3.448,6.88,"2023-05-16 15:55:45",232.4,0.426,0.1553643,"NAN",800,989.4375,0,13.06,28.11
"2023-05-16 16:15:00",1,26.28,18.86,2.528,7.683,"2023-05-16 16:13:55",247.1,0.176,0.1583263,0.548,1064,996.0224,0,13.07,27.82
"2023-05-16 16:30:00",2,25.94,18.07,2.689,6.88,"2023-05-16 16:18:30",219.3,0.068,0.0615716,0.38,592.9,995.9716,0,13.03,27.34
"2023-05-16 16:45:00",3,25.83,19.18,2.088,6.076,"2023-05-16 16:40:40",304.4,0.071,0.06351571,0.533,526.7,995.8817,0,13.13,26.96
"2023-05-16 17:00:00",4,25.86,19.44,1.86,5.155,"2023-05-16 16:52:55",72.23,0.077,0.06908727,0.906,497.4,995.7996,0,13.14,26.74
"2023-05-16 17:15:00",5,25.83,20.09,1.972,5.586,"2023-05-16 17:09:20",222.2,"NAN","NAN",0.975,374,995.7189,0,12.98,27.11
"2023-05-16 17:30:00",6,25.46,20.81,1.676,5.782,"2023-05-16 17:17:30",233.7,"NAN","NAN",1.16,263.1,995.6227,0,12.88,26.35
"2023-05-16 17:45:00",7,24.91,21.72,1.523,3.979,"2023-05-16 17:40:30",245,"NAN","NAN",1.857,208.2,995.5637,0,12.82,25.53
"2023-05-16 18:00:00",8,24.61,23.93,0.965,4.116,"2023-05-16 17:47:30",251.7,"NAN","NAN",2.068,153.4,995.5255,0,12.74,24.89
"2023-05-16 18:15:00",9,24.26,22.89,1.315,3.391,"2023-05-16 18:04:40",228.2,"NAN","NAN",1.825,100.1,995.5854,0,12.68,24.25
"2023-05-16 18:30:00",10,23.9,23.93,0.697,2.999,"2023-05-16 18:17:20",284,"NAN","NAN",1.912,61.52,995.5837,0,12.65,23.67
"2023-05-16 18:45:00",11,23.2,24.84,0.467,2.136,"2023-05-16 18:33:40",220.4,"NAN","NAN",2.076,31.35,995.6143,0,12.64,22.97
"2023-05-16 19:00:00",12,22.7,24.71,0.447,2.489,"2023-05-16 18:56:10",249.2,"NAN","NAN",2.071,11.89,995.7128,0,12.62,22.29
"2023-05-16 19:15:00",13,22.42,28.75,0.715,2.509,"2023-05-16 19:00:45",323.6,"NAN","NAN",2.103,2.149,995.8929,0,12.61,21.81
"2023-05-16 19:30:00",14,20.88,38.77,0.166,1.117,"2023-05-16 19:17:00",222.2,"NAN","NAN",3.596,0.042,996.1111,0,12.6,21.22
"2023-05-16 19:45:00",15,19.05,45.16,0,0,"2023-05-16 19:30:05",222.1,"NAN","NAN",5.747,0,996.2484,0,12.6,20.27
"2023-05-16 20:00:00",16,18.65,33.24,0.069,1.686,"2023-05-16 19:59:30",227.8,"NAN","NAN",4.554,0,996.3876,0,12.59,19.31
"2023-05-16 20:15:00",17,19.5,34.82,0.071,1.078,"2023-05-16 20:00:25",337.4,"NAN","NAN",3.373,0,996.5964,0,12.57,18.67
"2023-05-16 20:30:00",18,20.15,31.61,0.611,2.999,"2023-05-16 20:24:10",309.2,"NAN","NAN",2.746,0,996.811,0,12.57,18.44
"2023-05-16 20:45:00",19,20.56,34.21,0.421,2.195,"2023-05-16 20:30:55",262.1,"NAN","NAN",3.056,0,996.9373,0,12.56,18.47
"2023-05-16 21:00:00",20,20.22,33.5,0.315,2.176,"2023-05-16 20:53:45",213.6,"NAN","NAN",3.552,0,996.9976,0,12.55,18.48
"2023-05-16 21:15:00",21,20.39,33.5,0.873,3.312,"2023-05-16 21:12:55",282.8,"NAN","NAN",3.865,0,997.1153,0,12.55,18.64
"2023-05-16 21:30:00",22,20.21,34.8,0.394,2.568,"2023-05-16 21:18:50",188.2,"NAN","NAN",4.286,0,997.2347,0,12.55,18.8
"2023-05-16 21:45:00",23,19.77,36.69,1.361,4.038,"2023-05-16 21:36:50",5.394,"NAN","NAN",4.373,0,997.9084,0,12.55,18.89
"2023-05-16 22:00:00",24,17.62,63.72,1.684,5.468,"2023-05-16 21:50:55",30.85,"NAN","NAN",6.039,0,998.4169,0,12.54,18.67
"2023-05-16 22:15:00",25,14.23,70.61,0.979,3.704,"2023-05-16 22:05:30",69.66,"NAN","NAN",8.42,0,998.8713,0,12.54,17.64
"2023-05-16 22:30:00",26,13.69,71.98,0.534,2.528,"2023-05-16 22:28:55",184.5,"NAN","NAN",8.67,0,998.942,0,12.53,16.66
"2023-05-16 22:45:00",27,13.39,73.09,0.935,3.195,"2023-05-16 22:31:45",153.1,"NAN","NAN",8.57,0,999.0831,0,12.51,15.88
"2023-05-16 23:00:00",28,13.19,73.47,0.447,2.862,"2023-05-16 22:58:30",55.24,"NAN","NAN",8.58,0,999.3331,0,12.51,15.27
"2023-05-16 23:15:00",29,13.04,73.4,0.765,2.999,"2023-05-16 23:10:50",109,"NAN","NAN",8.42,0,999.3917,0,12.5,14.79
"2023-05-16 23:30:00",30,12.88,74.45,0.42,2.666,"2023-05-16 23:21:20",24.95,"NAN","NAN",8.33,0,999.3884,0,12.5,14.4
"2023-05-16 23:45:00",31,12.74,75.56,0.172,1.45,"2023-05-16 23:33:40",350.3,"NAN","NAN",8.44,0,999.495,0,12.48,14.06
"2023-05-17 00:00:00",32,12.65,74.91,0.224,1.94,"2023-05-16 23:56:50",67.53,"NAN","NAN",8.36,0,999.5923,0,12.47,13.79
"2023-05-17 00:15:00",33,12.51,76.14,0.304,1.45,"2023-05-17 00:14:35",90.2,"NAN","NAN",8.3,0,999.5471,0,12.46,13.56
"2023-05-17 00:30:00",34,12.3,75.43,0.106,1.254,"2023-05-17 00:25:20",319.7,"NAN","NAN",8.21,0,999.6335,0,12.45,13.32
"2023-05-17 00:45:00",35,12.33,75.88,0.208,1.627,"2023-05-17 00:31:55",25.24,"NAN","NAN",8.1,0,999.7582,0,12.44,13.13
"2023-05-17 01:00:00",36,12.3,75.62,0.194,1.509,"2023-05-17 00:48:20",355,"NAN","NAN",8.08,0,999.98,0,12.44,12.96
"2023-05-17 01:15:00",37,12.26,75.29,0.067,1.274,"2023-05-17 01:04:20",319.9,"NAN","NAN",7.923,0,1000.127,0,12.42,12.79
"2023-05-17 01:30:00",38,12.2,76.27,0.003,0.235,"2023-05-17 01:27:50",312.4,"NAN","NAN",7.984,0,1000.259,0,12.42,12.61
"2023-05-17 01:45:00",39,12.16,75.7,0.002,0.137,"2023-05-17 01:43:45",267.7,"NAN","NAN",8.13,0,1000.522,0,12.42,12.47
"2023-05-17 02:00:00",40,12.23,73.14,0.164,1.98,"2023-05-17 01:58:15",32.51,"NAN","NAN",7.825,0,1000.747,0,12.41,12.33
"2023-05-17 02:15:00",41,12.53,61.29,1.333,3.097,"2023-05-17 02:13:30",0.052,"NAN","NAN",6.307,0,1000.928,0,12.4,12.3
"2023-05-17 02:30:00",42,12.51,60.6,1.497,4.057,"2023-05-17 02:22:55",307.7,"NAN","NAN",5.058,0,1001.133,0,12.4,12.36
"2023-05-17 02:45:00",43,12.33,60.7,1.69,3.842,"2023-05-17 02:31:40",252.7,"NAN","NAN",4.961,0,1001.304,0,12.4,12.39
"2023-05-17 03:00:00",44,12.05,60.11,2.044,4.567,"2023-05-17 02:46:50",277.6,"NAN","NAN",4.657,0,1001.614,0,12.4,12.36
"2023-05-17 03:15:00",45,11.63,60.6,2.42,4.665,"2023-05-17 03:00:15",321.8,"NAN","NAN",4.283,0,1001.917,0,12.38,12.23
"2023-05-17 03:30:00",46,10.78,61.15,2.767,6.429,"2023-05-17 03:17:55",317.9,"NAN","NAN",3.374,0,1002.149,0,12.38,11.93
"2023-05-17 03:45:00",47,9.99,61.27,2.168,5.135,"2023-05-17 03:37:25",271.2,"NAN","NAN",2.829,0,1002.481,0,12.38,11.46
"2023-05-17 04:00:00",48,9.32,63.42,2.014,5.704,"2023-05-17 03:49:50",321.3,"NAN","NAN",2.484,0.026,1002.683,0,12.36,10.82
"2023-05-17 04:15:00",49,8.79,63.94,1.93,4.136,"2023-05-17 04:03:10",309.5,"NAN","NAN",2.38,1.839,1002.928,0,12.37,10.12
"2023-05-17 04:30:00",50,8.55,64.85,1.955,5.233,"2023-05-17 04:18:10",296.6,"NAN","NAN",2.235,10.89,1003.18,0,12.36,9.6
"2023-05-17 04:45:00",51,8.25,65.1,1.616,3.861,"2023-05-17 04:44:40",328.3,"NAN","NAN",2.204,28.18,1003.328,0,12.35,9.19
"2023-05-17 05:00:00",52,8.19,64.4,2.099,5.429,"2023-05-17 04:50:35",315.5,"NAN","NAN",2.057,51.89,1003.488,0,12.35,9.03
"2023-05-17 05:15:00",53,8.14,64.27,2.316,4.41,"2023-05-17 05:02:30",284.4,"NAN","NAN",1.898,72.7,1003.72,0,12.38,8.97
"2023-05-17 05:30:00",54,8.13,64.35,2.235,4.88,"2023-05-17 05:28:25",340.6,"NAN","NAN",1.84,103.1,1003.953,0,12.41,8.92
"2023-05-17 05:45:00",55,8.06,63.81,2.489,5.37,"2023-05-17 05:32:35",300.3,"NAN","NAN",1.689,156.9,1004.121,0,12.46,8.83
"2023-05-17 06:00:00",56,7.756,63.68,1.659,4.724,"2023-05-17 05:49:20",314,"NAN","NAN",1.501,156.6,1004.286,0,12.46,8.47
"2023-05-17 06:15:00",57,8.36,57.29,2.294,4.978,"2023-05-17 06:14:30",340.6,"NAN","NAN",1.18,476.9,1004.38,0,12.75,8.44
"2023-05-17 06:30:00",58,8.98,57.3,2.52,5.194,"2023-05-17 06:22:50",346.5,"NAN","NAN",0.952,622.9,1004.534,0,13,9.05
"2023-05-17 06:45:00",59,9.2,53.06,2.713,6.664,"2023-05-17 06:44:50",318.5,"NAN","NAN",0.833,730.1,1004.673,0,13.37,9.64
"2023-05-17 07:00:00",60,9.56,52.78,2.266,6.076,"2023-05-17 06:45:50",309.5,"NAN","NAN",0.729,833,1004.826,0,13.45,10.17
"2023-05-17 07:15:00",61,9.71,53.33,2.846,6.762,"2023-05-17 07:01:35",335.3,"NAN","NAN",0.359,932,1004.951,0,13.43,10.61
"2023-05-17 07:30:00",62,9.92,47.72,3.084,6.997,"2023-05-17 07:25:55",328.2,"NAN","NAN",-0.539,1030,1005.114,0,13.42,10.94
"2023-05-17 07:45:00",63,10.11,47.57,2.98,7.115,"2023-05-17 07:38:40",353.2,"NAN","NAN",-0.677,1184,1005.261,0,13.42,11.2
"2023-05-17 08:00:00",64,10.46,46.56,2.869,8.13,"2023-05-17 07:58:55",20.53,"NAN","NAN",-0.462,1360,1005.376,0,13.41,11.53
"2023-05-17 08:15:00",65,10.69,39.52,3.176,8.23,"2023-05-17 08:09:35",281.6,"NAN","NAN",-1.199,1396,1005.466,0,13.41,11.81
"2023-05-17 08:30:00",66,11.1,41.35,2.878,6.801,"2023-05-17 08:15:20",8.48,"NAN","NAN",-1.601,1452,1005.571,0,13.41,11.94
"2023-05-17 08:45:00",67,11.26,40.87,2.757,7.801,"2023-05-17 08:44:10",322.3,"NAN","NAN",-1.612,1533,1005.682,0,13.41,12.12
"2023-05-17 09:00:00",68,10.87,37.37,3.78,8.78,"2023-05-17 08:56:50",8.21,"NAN","NAN",-2.314,1573,1005.796,0,13.42,12.12
"2023-05-17 09:15:00",69,10.78,38.67,4.097,8.37,"2023-05-17 09:05:30",348.1,"NAN","NAN",-3.074,1681,1005.931,0,13.42,12.03
"2023-05-17 09:30:00",70,11.06,33.92,3.667,7.742,"2023-05-17 09:19:25",319.7,"NAN","NAN",-2.646,1736,1006.157,0,13.42,12
"2023-05-17 09:45:00",71,11.15,33.19,3.809,8.78,"2023-05-17 09:39:00",314,"NAN","NAN",-3.607,1767,1006.381,0,13.42,12.06
"2023-05-17 10:00:00",72,11.18,37.11,3.381,8.41,"2023-05-17 09:50:20",343.8,"NAN","NAN",-3.349,1858,1006.565,0,13.43,12.1
"2023-05-16 16:00:00",0,26.29,18.53,3.448,6.88,"2023-05-16 15:55:45",232.4,0.426,0.1553643,"NAN",800,989.4375,0,13.06,28.11
"2023-05-16 16:15:00",1,26.28,18.86,2.528,7.683,"2023-05-16 16:13:55",247.1,0.176,0.1583263,0.548,1064,996.0224,0,13.07,27.82
"2023-05-16 16:30:00",2,25.94,18.07,2.689,6.88,"2023-05-16 16:18:30",219.3,0.068,0.0615716,0.38,592.9,995.9716,0,13.03,27.34
"2023-05-16 16:45:00",3,25.83,19.18,2.088,6.076,"2023-05-16 16:40:40",304.4,0.071,0.06351571,0.533,526.7,995.8817,0,13.13,26.96
"2023-05-16 17:00:00",4,25.86,19.44,1.86,5.155,"2023-05-16 16:52:55",72.23,0.077,0.06908727,0.906,497.4,995.7996,0,13.14,26.74
"2023-05-16 17:15:00",5,25.83,20.09,1.972,5.586,"2023-05-16 17:09:20",222.2,"NAN","NAN",0.975,374,995.7189,0,12.98,27.11
"2023-05-16 17:30:00",6,25.46,20.81,1.676,5.782,"2023-05-16 17:17:30",233.7,"NAN","NAN",1.16,263.1,995.6227,0,12.88,26.35
"2023-05-16 17:45:00",7,24.91,21.72,1.523,3.979,"2023-05-16 17:40:30",245,"NAN","NAN",1.857,208.2,995.5637,0,12.82,25.53
"2023-05-16 18:00:00",8,24.61,23.93,0.965,4.116,"2023-05-16 17:47:30",251.7,"NAN","NAN",2.068,153.4,995.5255,0,12.74,24.89
"2023-05-16 18:15:00",9,24.26,22.89,1.315,3.391,"2023-05-16 18:04:40",228.2,"NAN","NAN",1.825,100.1,995.5854,0,12.68,24.25
"2023-05-16 18:30:00",10,23.9,23.93,0.697,2.999,"2023-05-16 18:17:20",284,"NAN","NAN",1.912,61.52,995.5837,0,12.65,23.67
"2023-05-16 18:45:00",11,23.2,24.84,0.467,2.136,"2023-05-16 18:33:40",220.4,"NAN","NAN",2.076,31.35,995.6143,0,12.64,22.97
"2023-05-16 19:00:00",12,22.7,24.71,0.447,2.489,"2023-05-16 18:56:10",249.2,"NAN","NAN",2.071,11.89,995.7128,0,12.62,22.29
"2023-05-16 19:15:00",13,22.42,28.75,0.715,2.509,"2023-05-16 19:00:45",323.6,"NAN","NAN",2.103,2.149,995.8929,0,12.61,21.81
"2023-05-16 19:30:00",14,20.88,38.77,0.166,1.117,"2023-05-16 19:17:00",222.2,"NAN","NAN",3.596,0.042,996.1111,0,12.6,21.22
"2023-05-16 19:45:00",15,19.05,45.16,0,0,"2023-05-16 19:30:05",222.1,"NAN","NAN",5.747,0,996.2484,0,12.6,20.27
"2023-05-16 20:00:00",16,18.65,33.24,0.069,1.686,"2023-05-16 19:59:30",227.8,"NAN","NAN",4.554,0,996.3876,0,12.59,19.31
"2023-05-16 20:15:00",17,19.5,34.82,0.071,1.078,"2023-05-16 20:00:25",337.4,"NAN","NAN",3.373,0,996.5964,0,12.57,18.67
"2023-05-16 20:30:00",18,20.15,31.61,0.611,2.999,"2023-05-16 20:24:10",309.2,"NAN","NAN",2.746,0,996.811,0,12.57,18.44
"2023-05-16 20:45:00",19,20.56,34.21,0.421,2.195,"2023-05-16 20:30:55",262.1,"NAN","NAN",3.056,0,996.9373,0,12.56,18.47
"2023-05-16 21:00:00",20,20.22,33.5,0.315,2.176,"2023-05-16 20:53:45",213.6,"NAN","NAN",3.552,0,996.9976,0,12.55,18.48
"2023-05-16 21:15:00",21,20.39,33.5,0.873,3.312,"2023-05-16 21:12:55",282.8,"NAN","NAN",3.865,0,997.1153,0,12.55,18.64
"2023-05-16 21:30:00",22,20.21,34.8,0.394,2.568,"2023-05-16 21:18:50",188.2,"NAN","NAN",4.286,0,997.2347,0,12.55,18.8
"2023-05-16 21:45:00",23,19.77,36.69,1.361,4.038,"2023-05-16 21:36:50",5.394,"NAN","NAN",4.373,0,997.9084,0,12.55,18.89
"2023-05-16 22:00:00",24,17.62,63.72,1.684,5.468,"2023-05-16 21:50:55",30.85,"NAN","NAN",6.039,0,998.4169,0,12.54,18.67
"2023-05-16 22:15:00",25,14.23,70.61,0.979,3.704,"2023-05-16 22:05:30",69.66,"NAN","NAN",8.42,0,998.8713,0,12.54,17.64
"2023-05-16 22:30:00",26,13.69,71.98,0.534,2.528,"2023-05-16 22:28:55",184.5,"NAN","NAN",8.67,0,998.942,0,12.53,16.66
"2023-05-16 22:45:00",27,13.39,73.09,0.935,3.195,"2023-05-16 22:31:45",153.1,"NAN","NAN",8.57,0,999.0831,0,12.51,15.88
"2023-05-16 23:00:00",28,13.19,73.47,0.447,2.862,"2023-05-16 22:58:30",55.24,"NAN","NAN",8.58,0,999.3331,0,12.51,15.27
